login_hour,after_hours_flag,session_duration_mins,usb_events_count,files_accessed_count,email_count,unique_domains_visited,email_ext_recipient_count
13,0,226.46666666666667,7,20,19,39,18
11,0,419.35,3,23,9,37,0
8,0,493.0,0,0,3,19,3
14,0,207.98333333333332,0,0,8,20,12
8,0,490.0,6,0,3,14,1
8,0,266.2166666666667,0,0,9,41,10
14,0,338.6666666666667,2,0,8,40,3
7,0,489.0,1,0,10,9,8
8,0,623.0,0,0,11,37,11
12,0,367.76666666666665,0,0,1,8,0
9,0,558.0,0,0,3,22,3
13,0,227.48333333333332,2,0,10,32,3
8,0,546.0,0,0,15,32,17
11,0,418.23333333333335,0,0,3,7,1
13,0,160.5,2,2,15,47,14
12,0,263.06666666666666,0,0,3,19,5
13,0,374.45,1,4,10,44,10
7,0,557.0,9,0,9,39,7
12,0,263.26666666666665,0,0,3,19,3
8,0,682.0,1,7,1,9,1
11,0,338.5833333333333,0,0,9,12,13
9,0,493.7,1,4,1,8,3
7,0,681.0,0,0,3,10,3
7,0,556.0,2,13,10,22,4
12,0,177.51666666666668,0,0,13,25,11
12,0,246.36666666666667,0,0,3,24,1
12,0,270.05,0,0,10,21,1
12,0,375.1333333333333,0,0,8,20,8
13,0,217.76666666666668,0,0,0,49,0
7,0,614.0,0,0,1,8,0
7,0,495.0,0,0,12,21,10
7,0,491.0,0,0,10,40,1
14,0,486.15,0,0,11,48,9
12,0,324.4,0,0,16,41,8
9,0,429.1166666666667,0,0,9,44,9
7,0,554.0,0,0,1,8,1
8,0,614.0,9,27,11,22,6
8,0,494.0,0,0,3,7,0
7,0,489.0,0,0,15,38,4
9,0,557.0,0,0,3,15,1
12,0,479.05,0,0,9,27,2
8,0,558.0,0,0,1,8,1
6,0,365.6666666666667,3,1,14,40,4
7,0,617.0,7,23,9,22,7
12,0,338.15,0,0,3,15,0
8,0,606.0,0,0,9,40,7
12,0,343.7833333333333,2,4,3,8,1
12,0,260.1666666666667,8,22,9,36,10
13,0,398.06666666666666,0,0,1,3,0
12,0,182.23333333333332,0,0,15,37,11
8,0,550.0,0,0,10,17,3
13,0,175.73333333333332,0,0,3,15,4
9,0,475.0,0,0,3,20,1
12,0,303.7,8,2,15,48,15
13,0,420.03333333333336,0,0,9,36,3
9,0,524.0,0,0,3,15,2
13,0,280.8,2,2,9,35,5
11,0,245.68333333333334,0,0,0,37,0
7,0,677.55,0,0,9,14,2
8,0,609.0,0,0,9,50,4
8,0,478.0,1,22,10,44,4
8,0,618.0,0,0,1,8,0
7,0,616.0,0,0,9,32,2
10,0,322.6666666666667,2,12,1,9,1
13,0,263.4,0,0,11,36,2
6,0,551.0,9,21,18,48,7
11,0,383.8,1,8,9,36,6
8,0,555.0,0,0,15,39,5
8,1,512.75,9,10,10,33,9
9,0,474.0,9,0,3,11,3
7,0,563.0,0,0,1,8,0
11,0,485.6166666666667,0,0,9,44,10
11,0,353.73333333333335,2,9,16,45,2
12,0,343.6,0,0,1,9,1
7,0,532.0,0,0,1,9,0
8,0,577.0,9,24,7,28,2
9,0,553.0,1,10,2,21,0
13,0,243.73333333333332,0,0,9,31,2
13,0,255.16666666666666,1,22,9,20,2
7,0,668.0,0,0,9,26,0
13,0,177.43333333333334,1,3,3,26,4
10,0,426.21666666666664,0,0,3,10,3
9,0,537.0,0,0,3,21,1
11,0,416.6333333333333,0,0,3,18,2
7,0,546.5166666666667,2,3,14,36,7
11,0,373.8333333333333,0,0,3,21,7
14,0,130.78333333333333,3,3,10,30,3
12,0,284.51666666666665,1,2,10,24,6
12,0,191.05,3,1,16,29,14
11,0,262.15,1,4,9,34,9
9,0,465.0,0,0,2,20,5
12,0,263.8,0,0,14,27,2
13,0,348.53333333333336,0,0,8,11,6
8,0,667.0,0,0,1,8,1
12,0,269.21666666666664,0,0,15,42,3
12,0,310.85,1,0,14,37,3
13,0,329.25,0,0,1,9,1
11,0,462.26666666666665,0,0,10,54,6
14,0,231.11666666666667,0,0,1,8,1
7,0,623.0,0,0,1,4,2
8,0,496.0,0,0,3,23,6
8,0,565.0,0,0,1,10,1
8,0,506.0,0,0,3,18,2
7,0,494.0,0,0,11,49,2
7,0,617.0,0,0,14,58,11
9,0,736.0,0,0,3,22,1
8,0,671.0,0,0,1,7,0
8,0,604.0,0,0,1,10,0
7,0,554.0,2,0,1,8,0
8,0,618.0,0,0,9,20,3
12,0,249.76666666666668,0,0,18,33,8
7,0,490.0,9,27,9,27,1
7,0,556.0,0,0,1,8,0
9,0,553.0,0,0,3,20,2
7,0,559.0,0,0,15,52,12
7,0,674.0,0,0,8,40,1
7,0,561.0,2,0,14,46,3
12,0,196.26666666666668,1,3,9,34,5
7,0,623.0,0,0,9,16,11
8,0,677.0,0,0,18,50,3
7,0,561.0,0,0,1,8,0
7,0,561.0,0,0,1,9,0
7,0,567.0,0,0,9,31,10
8,0,554.0,0,0,8,9,8
7,0,683.0,0,0,9,33,11
12,0,315.6,0,0,9,39,5
7,0,557.0,0,0,8,29,2
7,0,666.0,0,0,3,16,5
8,0,662.0,0,0,1,7,0
8,0,689.0,0,0,1,5,2
8,0,581.0,0,0,9,26,1
8,0,618.0,0,0,9,43,6
8,0,545.0,0,0,14,10,14
7,0,548.0,0,0,9,19,5
7,0,545.0,0,0,9,29,4
8,0,665.0,0,0,1,8,0
8,0,546.0,1,2,1,6,0
9,0,425.1166666666667,3,4,14,34,3
9,0,557.0,0,0,3,16,3
8,0,492.0,0,0,9,28,0
13,0,230.11666666666667,1,7,9,26,5
13,0,205.46666666666667,0,0,15,31,11
7,0,675.0,0,0,3,18,4
8,0,551.0,0,0,9,32,4
12,0,187.33333333333334,8,22,18,43,19
7,0,636.9833333333333,2,6,9,7,17
7,0,555.0,0,0,9,34,1
7,0,556.0,3,5,11,36,2
7,0,679.0,0,0,8,39,7
7,0,552.0,0,0,15,30,5
8,0,610.0,0,0,1,9,0
7,0,488.0,0,0,9,28,2
9,0,406.2,0,0,10,33,5
7,0,548.0,0,0,18,38,6
7,0,495.01666666666665,0,0,8,19,5
9,0,724.0,0,0,3,17,4
7,0,613.0,0,0,9,29,3
7,0,683.0,0,0,9,25,6
7,0,611.0,1,25,1,7,2
7,0,502.0,0,0,9,27,9
7,0,550.0,0,0,1,9,0
7,0,616.0,0,0,9,32,3
14,0,192.93333333333334,2,4,13,46,2
7,0,555.0,0,0,7,40,6
8,0,553.0,0,0,14,35,4
8,0,587.7333333333333,0,0,8,35,6
7,0,494.0,0,0,14,30,11
8,0,497.0,0,0,2,16,2
22,1,512.7666666666667,0,0,11,50,9
9,0,485.0,4,0,9,33,6
8,0,492.0,3,0,3,20,1
7,0,603.0,0,0,10,37,8
18,1,536.8333333333334,0,0,10,39,1
8,0,559.0,0,0,9,27,2
20,1,554.9,0,0,11,13,5
13,0,344.51666666666665,0,0,9,31,6
7,0,558.0,0,0,1,9,0
7,0,497.0,0,0,9,40,2
7,0,609.0,0,0,9,34,1
7,0,611.0,0,0,9,30,3
7,0,677.0,0,0,9,32,7
12,0,252.9,0,0,8,32,3
9,0,555.0,0,0,3,19,2
7,0,556.0,0,0,26,38,22
13,0,238.08333333333334,3,7,9,31,10
8,0,682.0,0,0,1,9,1
9,0,728.0,0,0,9,35,0
13,0,365.1166666666667,0,0,14,46,14
7,0,667.0,0,0,3,18,3
11,1,326.6333333333334,0,0,11,53,4
17,0,682.0,0,0,8,22,1
8,0,671.0,0,0,1,9,0
7,0,664.0,0,0,18,33,17
7,0,554.0,0,0,14,44,15
13,0,252.16666666666666,0,0,7,29,2
7,0,614.0,0,0,9,24,2
8,0,495.0,0,0,3,17,2
7,0,498.6333333333333,0,0,9,50,7
13,0,290.53333333333336,0,0,1,9,1
8,0,506.0,0,0,3,20,0
7,0,558.0,0,0,1,6,1
13,0,193.75,0,0,3,19,2
7,0,670.0,0,0,9,35,12
9,0,556.0,0,0,9,37,2
11,1,413.8833333333333,1,27,3,20,2
8,0,605.0,1,8,9,32,0
8,0,610.0,0,0,11,30,2
11,0,278.43333333333334,0,0,1,7,0
8,0,491.0,0,0,3,15,4
12,0,217.25,0,0,14,55,9
7,0,563.0,0,0,15,29,11
8,0,625.0,0,0,1,8,1
13,0,478.7,0,0,3,23,2
7,0,487.0,0,0,14,37,5
8,0,489.0,0,0,14,47,12
8,0,554.0,0,0,14,44,14
7,0,556.0,0,0,15,40,4
8,0,684.0,0,0,14,30,20
13,0,257.98333333333335,1,7,1,8,0
8,0,681.0,0,0,1,9,2
17,0,268.1333333333333,1,2,3,17,1
7,0,608.0,0,0,14,28,11
7,0,590.6833333333333,0,0,9,35,5
7,0,685.0,0,0,9,36,3
7,0,546.0,0,0,9,26,1
7,0,545.0,0,0,15,52,16
12,0,239.63333333333333,0,0,0,5,0
13,0,225.63333333333333,0,0,15,42,6
12,0,347.31666666666666,1,6,9,30,1
8,0,562.0,0,0,15,61,18
7,0,681.0,0,0,3,22,5
12,0,549.5,2,7,9,27,9
6,1,529.2333333333333,0,0,11,54,12
12,0,216.16666666666666,0,0,14,21,16
7,0,554.0,3,2,1,5,1
13,0,332.76666666666665,0,0,9,28,6
7,0,493.0,0,0,1,24,0
8,0,550.0,0,0,1,8,0
19,1,336.75,9,7,11,20,6
13,0,228.93333333333334,1,1,1,10,0
11,0,256.55,0,0,10,16,3
7,0,565.0,0,0,0,8,0
9,0,739.0,0,0,3,21,1
12,0,333.75,0,0,3,24,1
8,0,558.0,1,11,1,9,1
13,0,277.4666666666667,0,0,14,47,5
7,0,563.0,0,0,1,8,0
7,0,495.0,0,0,15,34,10
8,0,610.0,0,0,5,35,2
9,0,552.0,0,0,3,19,2
8,0,661.0,0,0,1,8,1
7,0,500.0,0,0,8,16,2
9,0,468.0,0,0,3,20,5
7,0,605.0,0,0,15,40,8
8,0,500.0,8,21,3,21,2
7,0,689.0,0,0,3,16,0
7,0,554.0,0,0,9,20,4
8,0,553.0,0,0,9,32,14
7,0,607.0,0,0,9,35,4
8,0,550.0,0,0,1,9,1
7,0,504.0,0,0,9,41,0
8,0,567.0,0,0,15,33,7
7,0,333.3666666666667,0,0,17,28,13
