login_hour,after_hours_flag,session_duration_mins,usb_events_count,files_accessed_count,email_count,unique_domains_visited,email_ext_recipient_count,file_copy_to_removable,usb_events_count_zscore,files_accessed_count_zscore,email_count_zscore,session_duration_mins_zscore
13,0,226.46666666666667,7,20,19,39,18,20,0.0,0.0,0.0,0.0
12,0,270.05,0,0,10,21,1,0,0.0,0.0,0.0,0.0
12,0,375.1333333333333,0,0,8,20,8,0,0.0,0.0,0.0,0.0
13,0,217.76666666666668,0,0,0,49,0,0,0.0,0.0,0.0,0.0
7,0,614.0,0,0,1,8,0,0,0.0,0.0,0.0,0.0
7,0,495.0,0,0,12,21,10,0,0.0,0.0,0.0,0.0
7,0,554.0,0,0,1,8,1,0,0.0,0.0,0.0,0.0
7,0,491.0,0,0,10,40,1,0,0.0,0.0,0.0,0.0
14,0,486.15,0,0,11,48,9,0,0.0,0.0,0.0,0.0
12,0,324.4,0,0,16,41,8,0,0.0,0.0,0.0,0.0
9,0,429.1166666666667,0,0,9,44,9,0,0.0,0.0,0.0,0.0
8,0,606.0,0,0,9,40,7,0,0.0,0.0,0.0,0.0
8,0,614.0,9,27,11,22,6,27,0.0,0.0,0.0,0.0
8,0,494.0,0,0,3,7,0,0,0.0,0.0,0.0,0.0
7,0,489.0,0,0,15,38,4,0,0.0,0.0,0.0,0.0
9,0,557.0,0,0,3,15,1,0,0.0,0.0,0.0,0.0
12,0,479.05,0,0,9,27,2,0,0.0,0.0,0.0,0.0
8,0,558.0,0,0,1,8,1,0,0.0,0.0,0.0,0.0
6,0,365.6666666666667,3,1,14,40,4,1,0.0,0.0,0.0,0.0
7,0,617.0,7,23,9,22,7,23,0.0,0.0,0.0,0.0
12,0,338.15,0,0,3,15,0,0,0.0,0.0,0.0,0.0
12,0,343.7833333333333,2,4,3,8,1,4,0.0,0.0,0.0,0.0
12,0,177.51666666666668,0,0,13,25,11,0,0.0,0.0,0.0,0.0
12,0,246.36666666666667,0,0,3,24,1,0,0.0,0.0,0.0,0.0
7,0,681.0,0,0,3,10,3,0,0.0,0.0,0.0,0.0
9,0,558.0,0,0,3,22,3,0,0.0,0.0,0.0,0.0
11,0,419.35,3,23,9,37,0,23,0.0,0.0,0.0,0.0
8,0,493.0,0,0,3,19,3,0,0.0,0.0,0.0,0.0
14,0,207.98333333333332,0,0,8,20,12,0,0.0,0.0,0.0,0.0
8,0,490.0,6,0,3,14,1,0,0.0,0.0,0.0,0.0
8,0,266.2166666666667,0,0,9,41,10,0,0.0,0.0,0.0,0.0
14,0,338.6666666666667,2,0,8,40,3,0,0.0,0.0,0.0,0.0
7,0,489.0,1,0,10,9,8,0,0.0,0.0,0.0,0.0
8,0,623.0,0,0,11,37,11,0,0.0,0.0,0.0,0.0
12,0,367.76666666666665,0,0,1,8,0,0,0.0,0.0,0.0,0.0
13,0,227.48333333333332,2,0,10,32,3,0,0.0,0.0,0.0,0.0
7,0,556.0,2,13,10,22,4,13,0.0,0.0,0.0,0.0
9,0,493.7,1,4,1,8,3,4,0.0,0.0,0.0,0.0
8,0,546.0,0,0,15,32,17,0,0.0,0.0,0.0,0.0
11,0,418.23333333333335,0,0,3,7,1,0,0.0,0.0,0.0,0.0
13,0,160.5,2,2,15,47,14,2,0.0,0.0,0.0,0.0
12,0,263.06666666666666,0,0,3,19,5,0,0.0,0.0,0.0,0.0
13,0,374.45,1,4,10,44,10,4,0.0,0.0,0.0,0.0
7,0,557.0,9,0,9,39,7,0,0.0,0.0,0.0,0.0
12,0,263.26666666666665,0,0,3,19,3,0,0.0,0.0,0.0,0.0
8,0,682.0,1,7,1,9,1,7,0.0,0.0,0.0,0.0
11,0,338.5833333333333,0,0,9,12,13,0,0.0,0.0,0.0,0.0
9,0,553.0,1,10,2,21,0,10,0.0,0.0,0.0,0.0
13,0,243.73333333333332,0,0,9,31,2,0,0.0,0.0,0.0,0.0
13,0,255.16666666666666,1,22,9,20,2,22,0.0,0.0,0.0,0.0
7,0,668.0,0,0,9,26,0,0,0.0,0.0,0.0,0.0
13,0,177.43333333333334,1,3,3,26,4,3,0.0,0.0,0.0,0.0
10,0,426.21666666666664,0,0,3,10,3,0,0.0,0.0,0.0,0.0
9,0,537.0,0,0,3,21,1,0,0.0,0.0,0.0,0.0
12,0,191.05,3,1,16,29,14,1,0.0,0.0,0.0,0.0
11,0,416.6333333333333,0,0,3,18,2,0,0.0,0.0,0.0,0.0
