n_estimators,max_features,max_samples,pr_auc,roc_auc,f1
100,0.5,256,0.008764811655709389,0.7836073702749528,0.0
100,0.5,2048,0.010529645727041586,0.8176281118280655,0.0
100,0.5,8192,0.01077042719354513,0.8175472357740599,0.0
100,1.0,256,0.008114580732284825,0.7640908312653059,0.0
100,1.0,2048,0.010034917455165054,0.8079038561530472,0.0
100,1.0,8192,0.011251759954969699,0.8285304620231002,0.0
300,0.5,256,0.009657890137783754,0.8021953833539299,0.0
300,0.5,2048,0.011014288890181904,0.8242301216266871,0.0
300,0.5,8192,0.011675281194503105,0.8315276654897574,0.0
300,1.0,256,0.008739158434172988,0.7809730192321536,0.0
300,1.0,2048,0.009751408182370146,0.8035947972032946,0.0
300,1.0,8192,0.01059978919284246,0.8166617863799563,0.0
