row_index,top_reasons
0,email_count_zscore=-18.8; usb_events_count=7.0; usb_events_count_zscore=-2.0
113,session_duration_mins_zscore=-24.1; files_accessed_count_zscore=6.5; usb_events_count_zscore=4.4
119,usb_events_count_zscore=-10.9; session_duration_mins_zscore=-9.9; unique_domains_visited=0.0
314,email_count_zscore=-27.3; files_accessed_count=20.0; usb_events_count=8.0
521,login_hour=23.0; files_accessed_count=20.0; after_hours_flag=1.0
1074,files_accessed_count_zscore=27.0; session_duration_mins_zscore=34.1; usb_events_count_zscore=9.0
1132,session_duration_mins=981.2; email_ext_recipient_count=28.0; after_hours_flag=1.0
1325,files_accessed_count=23.0; login_hour=20.0; after_hours_flag=1.0
1373,email_count_zscore=-25.6; usb_events_count_zscore=2.7; files_accessed_count=9.0
1412,email_count=26.0; unique_domains_visited=70.0; usb_events_count=5.0
1492,login_hour=0.0; after_hours_flag=1.0; unique_domains_visited=64.0
1501,usb_events_count=12.0; after_hours_flag=1.0; files_accessed_count=12.0
1553,session_duration_mins=956.3; login_hour=2.0; after_hours_flag=1.0
1882,files_accessed_count=29.0; usb_events_count=10.0; login_hour=20.0
2096,unique_domains_visited=80.0; email_count=26.0; files_accessed_count_zscore=-1.9
2490,usb_events_count_zscore=6.0; session_duration_mins=1106.6; usb_events_count=9.0
2507,session_duration_mins=1076.5; usb_events_count=6.0; login_hour=0.0
3000,usb_events_count=12.0; files_accessed_count=33.0; after_hours_flag=1.0
3337,session_duration_mins_zscore=12.1; login_hour=0.0; files_accessed_count=27.0
3732,files_accessed_count=28.0; usb_events_count=6.0; after_hours_flag=1.0
3984,usb_events_count_zscore=3.9; usb_events_count=9.0; after_hours_flag=1.0
4035,email_ext_recipient_count=54.0; email_count=36.0; unique_domains_visited=69.0
4039,email_ext_recipient_count=43.0; unique_domains_visited=74.0; email_count=27.0
4502,usb_events_count=14.0; after_hours_flag=1.0; login_hour=2.0
4596,files_accessed_count_zscore=24.0; session_duration_mins_zscore=-61.3; usb_events_count_zscore=5.0
4600,email_count_zscore=-26.4; session_duration_mins=42.6; session_duration_mins_zscore=-4.7
4649,login_hour=22.0; usb_events_count=7.0; after_hours_flag=1.0
4816,usb_events_count=14.0; login_hour=20.0; files_accessed_count=12.0
5208,usb_events_count_zscore=5.3; files_accessed_count_zscore=5.1; usb_events_count=9.0
5433,files_accessed_count=37.0; usb_events_count=11.0; after_hours_flag=1.0
5894,unique_domains_visited=81.0; email_ext_recipient_count=33.0; email_count=27.0
6264,usb_events_count=13.0; files_accessed_count=32.0; login_hour=20.0
6302,files_accessed_count_zscore=4.6; usb_events_count=5.0; login_hour=1.0
6524,email_count=36.0; email_ext_recipient_count=47.0; unique_domains_visited=69.0
6528,usb_events_count=6.0; login_hour=20.0; files_accessed_count=19.0
6533,session_duration_mins=1146.8; files_accessed_count=27.0; session_duration_mins_zscore=7.7
6640,email_count_zscore=-9.5; usb_events_count=8.0; after_hours_flag=1.0
6849,usb_events_count=13.0; files_accessed_count=31.0; login_hour=23.0
7197,usb_events_count=11.0; login_hour=2.0; after_hours_flag=1.0
7443,email_count=27.0; files_accessed_count=16.0; usb_events_count=4.0
7555,files_accessed_count=27.0; after_hours_flag=1.0; usb_events_count=6.0
8032,usb_events_count=9.0; session_duration_mins=897.0; after_hours_flag=1.0
8039,files_accessed_count=53.0; usb_events_count=13.0; login_hour=23.0
8270,usb_events_count=10.0; files_accessed_count=22.0; email_ext_recipient_count=27.0
8579,files_accessed_count=26.0; files_accessed_count_zscore=3.6; after_hours_flag=1.0
8946,files_accessed_count=42.0; usb_events_count=14.0; after_hours_flag=1.0
9039,usb_events_count=7.0; login_hour=15.0; usb_events_count_zscore=-1.9
9056,session_duration_mins=21.6; session_duration_mins_zscore=-6.1; unique_domains_visited=2.0
9057,files_accessed_count_zscore=-4.2; usb_events_count_zscore=-4.4; login_hour=1.0
9111,usb_events_count=9.0; after_hours_flag=1.0; session_duration_mins=858.8
9715,unique_domains_visited=87.0; email_count=27.0; files_accessed_count=13.0
10166,files_accessed_count_zscore=7.0; usb_events_count_zscore=4.4; after_hours_flag=1.0
10400,usb_events_count_zscore=8.2; files_accessed_count_zscore=5.3; usb_events_count=8.0
11170,after_hours_flag=1.0; usb_events_count=5.0; files_accessed_count=21.0
11430,email_count=24.0; unique_domains_visited=69.0; usb_events_count_zscore=-1.9
11822,usb_events_count=13.0; files_accessed_count=30.0; login_hour=21.0
12410,usb_events_count=14.0; login_hour=23.0; after_hours_flag=1.0
12434,unique_domains_visited=81.0; email_count=25.0; files_accessed_count=13.0
12630,usb_events_count=10.0; login_hour=21.0; after_hours_flag=1.0
12886,files_accessed_count=24.0; email_count_zscore=-10.2; usb_events_count_zscore=2.9
13281,login_hour=1.0; usb_events_count=9.0; files_accessed_count=23.0
13366,files_accessed_count=31.0; usb_events_count=5.0; files_accessed_count_zscore=3.6
13440,after_hours_flag=1.0; usb_events_count=6.0; files_accessed_count=19.0
13668,unique_domains_visited=87.0; email_count=27.0; files_accessed_count=14.0
14250,files_accessed_count=51.0; usb_events_count=13.0; after_hours_flag=1.0
14445,email_count_zscore=-27.2; files_accessed_count=35.0; usb_events_count=9.0
14619,usb_events_count=14.0; files_accessed_count=19.0; after_hours_flag=1.0
15177,after_hours_flag=1.0; session_duration_mins=822.6; files_accessed_count_zscore=2.1
15365,usb_events_count=10.0; files_accessed_count=27.0; login_hour=21.0
15713,unique_domains_visited=80.0; email_ext_recipient_count=39.0; email_count=26.0
16251,usb_events_count=12.0; files_accessed_count=33.0; after_hours_flag=1.0
16313,login_hour=1.0; usb_events_count=9.0; files_accessed_count=16.0
16679,login_hour=1.0; usb_events_count=5.0; files_accessed_count=22.0
17444,session_duration_mins=1223.2; session_duration_mins_zscore=6.4; after_hours_flag=1.0
17498,email_count=36.0; email_ext_recipient_count=45.0; session_duration_mins=75.2
17597,after_hours_flag=1.0; files_accessed_count=27.0; email_ext_recipient_count=23.0
17765,usb_events_count=10.0; login_hour=0.0; after_hours_flag=1.0
17875,usb_events_count_zscore=6.2; session_duration_mins=1162.0; files_accessed_count=26.0
17913,usb_events_count=11.0; login_hour=23.0; files_accessed_count=24.0
17923,email_count_zscore=-28.5; session_duration_mins=8.1; session_duration_mins_zscore=-6.9
17948,email_count_zscore=-13.7; login_hour=1.0; after_hours_flag=1.0
18095,files_accessed_count_zscore=-4.4; usb_events_count=9.0; session_duration_mins=103.8
18270,files_accessed_count=38.0; usb_events_count=13.0; login_hour=22.0
18507,files_accessed_count_zscore=10.8; usb_events_count_zscore=4.7; after_hours_flag=1.0
18674,email_ext_recipient_count=39.0; email_count=27.0; files_accessed_count=13.0
19535,files_accessed_count=36.0; usb_events_count=12.0; login_hour=1.0
