row_index,top_reasons
35526,session_duration_mins_zscore=48.8; session_duration_mins=1116.7; usb_events_count=9.0
50575,files_accessed_count_zscore=27.2; usb_events_count_zscore=1.2; login_hour=13.0
5208,files_accessed_count_zscore=5.1; usb_events_count=9.0; usb_events_count_zscore=5.3
29532,session_duration_mins_zscore=26.2; after_hours_flag=1.0; usb_events_count=8.0
4596,usb_events_count=5.0; usb_events_count_zscore=5.0; files_accessed_count_zscore=24.0
58682,files_accessed_count_zscore=8.6; usb_events_count_zscore=-1.8; files_accessed_count=10.0
18507,files_accessed_count_zscore=10.8; usb_events_count_zscore=4.7; usb_events_count=2.0
36235,files_accessed_count_zscore=-9.7; usb_events_count_zscore=-15.4; unique_domains_visited=0.0
17875,usb_events_count_zscore=6.2; session_duration_mins_zscore=5.7; files_accessed_count_zscore=3.4
113,session_duration_mins_zscore=-24.1; usb_events_count=5.0; usb_events_count_zscore=4.4
66050,usb_events_count_zscore=-18.2; login_hour=3.0; after_hours_flag=1.0
10400,files_accessed_count_zscore=5.3; usb_events_count_zscore=8.2; files_accessed_count=24.0
65046,session_duration_mins=1276.7; session_duration_mins_zscore=21.9; login_hour=0.0
9516,email_count_zscore=-44547639.0; session_duration_mins_zscore=1.7; files_accessed_count_zscore=0.0
1074,session_duration_mins=1108.1; session_duration_mins_zscore=34.1; files_accessed_count_zscore=27.0
2490,session_duration_mins_zscore=6.3; usb_events_count_zscore=6.0; session_duration_mins=1106.6
119,session_duration_mins_zscore=-9.9; usb_events_count_zscore=-10.9; files_accessed_count_zscore=-1.3
3337,files_accessed_count=27.0; session_duration_mins_zscore=12.1; usb_events_count=7.0
25388,usb_events_count=6.0; usb_events_count_zscore=-4.9; login_hour=3.0
48374,usb_events_count_zscore=4.1; files_accessed_count_zscore=8.0; session_duration_mins=354.7
41539,session_duration_mins_zscore=20.1; login_hour=1.0; files_accessed_count_zscore=0.9
26758,usb_events_count_zscore=-7.1; session_duration_mins=39.0; login_hour=5.0
52130,session_duration_mins_zscore=-16.4; login_hour=2.0; session_duration_mins=90.8
2507,usb_events_count_zscore=4.0; session_duration_mins=1076.5; login_hour=0.0
9057,files_accessed_count_zscore=-4.2; usb_events_count_zscore=-4.4; login_hour=1.0
55340,session_duration_mins_zscore=12.6; session_duration_mins=846.9; usb_events_count_zscore=2.0
52194,files_accessed_count_zscore=-3.8; session_duration_mins_zscore=-4.0; usb_events_count_zscore=-4.7
6533,session_duration_mins_zscore=7.7; files_accessed_count=27.0; files_accessed_count_zscore=0.9
48609,files_accessed_count_zscore=-3.5; session_duration_mins_zscore=-4.9; session_duration_mins=94.3
65256,files_accessed_count_zscore=16.2; usb_events_count_zscore=2.0; unique_domains_visited=47.0
10166,files_accessed_count_zscore=7.0; usb_events_count_zscore=4.4; after_hours_flag=1.0
33632,usb_events_count_zscore=4.4; usb_events_count=5.0; files_accessed_count_zscore=-1.5
26787,usb_events_count_zscore=-9.8; session_duration_mins=26.4; session_duration_mins_zscore=-2.7
26770,files_accessed_count_zscore=-3.8; session_duration_mins=172.8; usb_events_count_zscore=-4.2
101,usb_events_count_zscore=4.0; files_accessed_count_zscore=2.4; files_accessed_count=9.0
6302,files_accessed_count_zscore=4.6; login_hour=1.0; usb_events_count=5.0
25852,usb_events_count_zscore=-6.2; usb_events_count=7.0; session_duration_mins=324.8
48133,files_accessed_count_zscore=9.2; files_accessed_count=8.0; usb_events_count_zscore=1.2
46337,session_duration_mins_zscore=9.3; session_duration_mins=1292.5; usb_events_count=9.0
31165,files_accessed_count_zscore=-6.8; usb_events_count_zscore=-10.5; login_hour=4.0
6234,files_accessed_count_zscore=15.5; usb_events_count_zscore=1.3; files_accessed_count=4.0
48905,files_accessed_count_zscore=2.8; usb_events_count=9.0; usb_events_count_zscore=-1.9
3984,usb_events_count_zscore=3.9; files_accessed_count_zscore=1.0; usb_events_count=9.0
31474,session_duration_mins_zscore=13.2; after_hours_flag=1.0; session_duration_mins=715.4
60836,files_accessed_count_zscore=4.9; usb_events_count_zscore=2.5; session_duration_mins_zscore=4.5
39537,files_accessed_count_zscore=9.9; usb_events_count_zscore=2.0; files_accessed_count=6.0
19657,files_accessed_count=21.0; after_hours_flag=1.0; files_accessed_count_zscore=-1.9
17170,usb_events_count_zscore=-5.4; usb_events_count=7.0; files_accessed_count_zscore=1.1
35310,files_accessed_count=11.0; files_accessed_count_zscore=-3.1; login_hour=21.0
19579,files_accessed_count=22.0; session_duration_mins=800.5; usb_events_count=7.0
31585,usb_events_count_zscore=-15.0; files_accessed_count_zscore=-2.1; unique_domains_visited=0.0
22369,files_accessed_count_zscore=7.8; files_accessed_count=8.0; usb_events_count_zscore=0.9
59454,session_duration_mins_zscore=4.3; files_accessed_count=25.0; files_accessed_count_zscore=0.7
22653,files_accessed_count_zscore=7.6; usb_events_count_zscore=2.0; login_hour=15.0
17597,files_accessed_count=27.0; after_hours_flag=1.0; usb_events_count_zscore=1.2
38662,files_accessed_count=38.0; files_accessed_count_zscore=3.2; login_hour=1.0
65127,files_accessed_count_zscore=-3.3; usb_events_count_zscore=-3.5; login_hour=0.0
23167,usb_events_count_zscore=6.2; files_accessed_count_zscore=2.0; usb_events_count=2.0
17755,files_accessed_count_zscore=6.3; files_accessed_count=10.0; session_duration_mins=215.3
25993,files_accessed_count_zscore=4.0; login_hour=2.0; usb_events_count_zscore=1.0
14504,files_accessed_count_zscore=5.2; usb_events_count=5.0; usb_events_count_zscore=2.6
11170,files_accessed_count_zscore=3.2; files_accessed_count=21.0; usb_events_count=5.0
63767,usb_events_count_zscore=-2.4; login_hour=0.0; files_accessed_count_zscore=-1.6
41983,files_accessed_count_zscore=6.4; files_accessed_count=9.0; unique_domains_visited=58.0
39352,login_hour=1.0; session_duration_mins=977.7; files_accessed_count=7.0
25721,usb_events_count_zscore=3.8; usb_events_count=5.0; files_accessed_count_zscore=-1.1
5985,files_accessed_count_zscore=7.5; usb_events_count_zscore=1.3; files_accessed_count=7.0
59965,usb_events_count_zscore=-4.1; files_accessed_count_zscore=2.1; usb_events_count=7.0
20722,usb_events_count_zscore=4.9; usb_events_count=8.0; email_ext_recipient_count=15.0
45871,usb_events_count_zscore=2.6; usb_events_count=14.0; files_accessed_count=8.0
65007,files_accessed_count_zscore=2.7; login_hour=1.0; files_accessed_count=7.0
9111,session_duration_mins_zscore=4.3; files_accessed_count_zscore=1.3; after_hours_flag=1.0
28338,files_accessed_count_zscore=7.2; usb_events_count_zscore=1.7; files_accessed_count=6.0
32488,usb_events_count_zscore=4.8; files_accessed_count_zscore=5.8; files_accessed_count=6.0
64511,files_accessed_count_zscore=2.5; usb_events_count_zscore=2.1; files_accessed_count=9.0
32685,files_accessed_count_zscore=7.5; usb_events_count_zscore=0.7; files_accessed_count=6.0
8579,files_accessed_count_zscore=3.6; files_accessed_count=26.0; usb_events_count=4.0
1132,session_duration_mins=981.2; email_ext_recipient_count=28.0; usb_events_count_zscore=1.0
52410,files_accessed_count_zscore=7.5; usb_events_count_zscore=1.0; session_duration_mins=198.5
18095,files_accessed_count_zscore=-4.4; login_hour=13.0; usb_events_count=9.0
56071,files_accessed_count_zscore=4.5; login_hour=22.0; files_accessed_count=30.0
57061,session_duration_mins=910.4; usb_events_count=7.0; session_duration_mins_zscore=3.7
17444,session_duration_mins=1223.2; session_duration_mins_zscore=6.4; after_hours_flag=1.0
62369,session_duration_mins_zscore=8.9; usb_events_count_zscore=1.7; session_duration_mins=852.6
35595,session_duration_mins=1166.7; session_duration_mins_zscore=4.9; usb_events_count_zscore=-1.0
3472,usb_events_count_zscore=5.4; usb_events_count=7.0; files_accessed_count_zscore=0.9
20564,files_accessed_count_zscore=5.8; usb_events_count_zscore=2.9; files_accessed_count=6.0
16499,files_accessed_count_zscore=5.2; files_accessed_count=11.0; usb_events_count=8.0
6182,files_accessed_count=20.0; email_ext_recipient_count=21.0; after_hours_flag=1.0
50700,usb_events_count=13.0; files_accessed_count=24.0; usb_events_count_zscore=0.9
33061,session_duration_mins=975.2; session_duration_mins_zscore=7.2; files_accessed_count_zscore=-1.0
17942,files_accessed_count_zscore=5.3; usb_events_count_zscore=2.8; files_accessed_count=7.0
17765,login_hour=0.0; files_accessed_count=13.0; usb_events_count=10.0
3512,files_accessed_count=21.0; files_accessed_count_zscore=-1.6; usb_events_count_zscore=1.4
